Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C4, C8",0402,4,1uF,C52923
"C11, C12, C13, C14, C15, C16, C5, C6, C7, C9",0402,10,100nF,C1525
"C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32",0402,16,100nF,C1525
"C2, C3",0402,2,30pF,C1570
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",SK6812EC20,16,SK6812-EC20,C2909058
OLED1,128x64OLED,1,SSD1306,
"R1, R5",0402,2,1k,C11702
R2,0402,1,10k,C25744
"R3, R4",0402,2,27k,C138021
"R6, R7",0402,2,5.1k,C25905
"SW1, SW2, SW3, SW4, SW5, SW6",SW_PUSH_6mm_H5mm,6,SW_Push,C428628
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW7, SW8, SW9",Kailh_socket_PG1350_optional,12,SW_Push,
"SW19, SW20",SW_SPST_Omron_B3FS-100xP,2,SW_Push,C271750
U1,SOT-23-5,1,TLV73333PDBV,C134139
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U3,RP2040-QFN-56,1,RP2040,C2040
USB1,HRO-TYPE-C-31-M-12-Assembly,1,HRO-TYPE-C-31-M-12,C165948
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
