Designator,Mid X,Mid Y,Rotation,Layer
C1,98.29,-100.51,90.0,top
C10,89.75,-101.33,90.0,top
C11,78.58625,-104.9225,180.0,top
C12,91.41695,-108.327974,0.0,top
C13,72.39,-109.22,180.0,top
C14,85.53,-115.57,270.0,top
C15,90.790232,-104.586961,0.0,top
C16,90.790232,-103.576212,0.0,top
C17,115.789534,-139.985534,270.0,top
C18,207.01,-64.77,0.0,top
C19,177.229534,-65.309534,0.0,top
C2,83.01,-116.87,180.0,top
C20,228.565534,-64.293534,180.0,top
C21,84.265534,-78.009534,270.0,top
C22,140.145534,-108.489534,270.0,top
C23,143.193534,-75.977534,180.0,top
C24,55.309534,-77.501534,270.0,top
C25,224.981534,-97.0,270.0,top
C26,195.517534,-96.997463,270.0,top
C27,108.141534,-88.169534,180.0,top
C28,167.069534,-97.0,270.0,top
C29,62.421534,-138.997534,90.0,top
C3,86.21,-119.52,270.0,top
C30,73.597534,-141.509534,0.0,top
C31,82.233534,-141.509534,0.0,top
C32,90.869534,-141.509534,0.0,top
C4,93.49,-100.51,90.0,top
C5,80.86,-95.7225,0.0,top
C6,84.45,-99.73,90.0,top
C7,86.56,-115.57,270.0,top
C8,88.7,-100.33,90.0,top
C9,85.5,-100.33,90.0,top
D1,60.46974,-67.192899,270.0,top
D10,172.12,-87.380437,90.0,top
D11,145.45,-98.44,90.0,top
D12,134.02,-132.014896,90.0,top
D13,61.405534,-143.541534,90.0,top
D14,70.041534,-143.541534,90.0,top
D15,78.677534,-143.541534,90.0,top
D16,87.313534,-143.541534,90.0,top
D2,89.368173,-67.160023,270.0,top
D3,115.915014,-78.609701,270.0,top
D4,150.53,-67.341534,270.0,top
D5,177.2,-55.930877,270.0,top
D6,206.41,-55.806638,270.0,top
D7,235.62,-56.021975,270.0,top
D8,230.54,-87.390832,90.0,top
D9,201.26,-87.399741,90.0,top
OLED1,119.82,-41.8,0.0,top
R1,74.76,-104.5225,270.0,top
R2,71.11,-97.3225,180.0,top
R3,86.55,-100.33,90.0,top
R4,87.63,-100.33,90.0,top
R5,84.51,-116.42,270.0,top
R6,140.055534,-34.29,180.0,top
R7,144.455534,-32.245534,270.0,top
SW1,53.7,-40.745534,90.0,top
SW10,146.765534,-62.855534,0.0,top
SW11,173.325534,-51.325534,0.0,top
SW12,202.295534,-51.205534,0.0,top
SW13,231.265534,-51.445534,0.0,top
SW14,141.155534,-93.895534,0.0,top
SW15,167.765534,-82.785534,0.0,top
SW16,196.615534,-82.785534,0.0,top
SW17,225.825534,-82.785534,0.0,top
SW18,129.325534,-127.365534,0.0,top
SW19,74.93,-119.57,90.0,top
SW2,62.4,-40.75,90.0,top
SW20,67.78,-119.57,270.0,top
SW3,71.15,-40.75,90.0,top
SW4,81.05,-40.75,90.0,top
SW5,89.75,-40.75,90.0,top
SW6,98.45,-40.75,90.0,top
SW7,56.130534,-62.795534,0.0,top
SW8,85.225534,-62.915534,0.0,top
SW9,111.825534,-74.265534,0.0,top
U1,95.89,-100.01,180.0,top
U2,77.16,-99.2225,0.0,top
U3,85.058856,-107.89,0.0,top
USB1,142.905534,-22.245534,180.0,top
Y1,83.86,-119.52,270.0,top
